"x","M","I","S","L","U"
239,35.6302253254673,25.9270221965285,38.4427524780042,0,0
239.1,35.6444907164272,25.9281308315496,38.4273784520232,0,0
239.2,35.6587516207125,25.9292378048647,38.4120105744228,0,0
239.3,35.6730080382912,25.9303431189646,38.3966488427442,0,0
239.4,35.6872599691343,25.9314467763362,38.3812932545295,0,0
239.5,35.7015074132155,25.9325487794627,38.3659438073218,0,0
239.6,35.7157503705112,25.9336491308237,38.3506004986651,0,0
239.7,35.7299888410004,25.9347478328949,38.3352633261047,0,0
239.8,35.7442228246651,25.9358448881484,38.3199322871864,0,0
239.9,35.7584523214899,25.9369402990526,38.3046073794575,0,0
240,35.7726773314621,25.9380340680722,38.2892886004657,0,0
240.1,35.7868978545717,25.9391261976681,38.2739759477602,0,0
240.2,35.8011138908113,25.9402166902977,38.258669418891,0,0
240.3,35.8153254401766,25.9413055484145,38.2433690114089,0,0
240.4,35.8295325026655,25.9423927744685,38.228074722866,0,0
240.5,35.843735078279,25.9434783709059,38.2127865508151,0,0
240.6,35.8579331670205,25.9445623401693,38.1975044928101,0,0
240.7,35.8721267688963,25.9456446846977,38.182228546406,0,0
240.8,35.8863158839151,25.9467254069264,38.1669587091585,0,0
240.9,35.9005005120887,25.9478045092869,38.1516949786244,0,0
241,35.9146806534311,25.9488819942073,38.1364373523617,0,0
241.1,35.9288563079593,25.9499578641118,38.121185827929,0,0
241.2,35.9430274756927,25.9510321214212,38.1059404028861,0,0
241.3,35.9571941566537,25.9521047685526,38.0907010747937,0,0
241.4,35.9713563508669,25.9531758079194,38.0754678412136,0,0
241.5,35.98551405836,25.9542452419315,38.0602406997085,0,0
241.6,35.999667279163,25.9553130729951,38.0450196478419,0,0
241.7,36.0138160133086,25.9563793035128,38.0298046831786,0,0
241.8,36.0279602608323,25.9574439358837,38.0145958032841,0,0
241.9,36.042100021772,25.958506972503,37.999393005725,0,0
242,36.0562352961683,25.9595684157628,37.9841962880688,0,0
242.1,36.0703660840646,25.9606282680512,37.9690056478842,0,0
242.2,36.0844923855065,25.961686531753,37.9538210827405,0,0
242.3,36.0986142005426,25.9627432092491,37.9386425902083,0,0
242.4,36.1127315292239,25.9637983029171,37.923470167859,0,0
242.5,36.1268443716039,25.9648518151311,37.908303813265,0,0
242.6,36.140952727739,25.9659037482613,37.8931435239997,0,0
242.7,36.155056597688,25.9669541046746,37.8779892976374,0,0
242.8,36.1691559815121,25.9680028867344,37.8628411317535,0,0
242.9,36.1832508792753,25.9690500968004,37.8476990239243,0,0
243,36.1973412910442,25.9700957372288,37.832562971727,0,0
243.1,36.2114272168878,25.9711398103724,37.8174329727398,0,0
243.2,36.2255086568778,25.9721823185802,37.802309024542,0,0
243.3,36.2395856110883,25.9732232641979,37.7871911247137,0,0
243.4,36.2536580795962,25.9742626495677,37.7720792708361,0,0
243.5,36.2677260624806,25.9753004770282,37.7569734604913,0,0
243.6,36.2817895598233,25.9763367489144,37.7418736912622,0,0
243.7,36.2958485717089,25.9773714675581,37.7267799607331,0,0
243.8,36.309903098224,25.9784046352872,37.7116922664888,0,0
243.9,36.3239531394581,25.9794362544265,37.6966106061154,0,0
244,36.3379986955032,25.9804663272971,37.6815349771997,0,0
244.1,36.3520397664537,25.9814948562166,37.6664653773297,0,0
244.2,36.3660763524065,25.9825218434992,37.6514018040943,0,0
244.3,36.380108453461,25.9835472914557,37.6363442550832,0,0
244.4,36.3941360697193,25.9845712023934,37.6212927278873,0,0
244.5,36.4081592012857,25.9855935786159,37.6062472200983,0,0
244.6,36.4221778482673,25.9866144224237,37.591207729309,0,0
244.7,36.4361920107733,25.9876337361137,37.5761742531129,0,0
244.8,36.4502016889158,25.9886515219793,37.5611467891049,0,0
244.9,36.4642068828091,25.9896677823105,37.5461253348804,0,0
245,36.47820759257,25.990682519394,37.531109888036,0,0
245.1,36.4922038183179,25.9916957355128,37.5161004461693,0,0
245.2,36.5061955601745,25.9927074329468,37.5010970068787,0,0
245.3,36.5201828182641,25.9937176139722,37.4860995677637,0,0
245.4,36.5341655927133,25.994726280862,37.4711081264248,0,0
245.5,36.5481438836512,25.9957334358856,37.4561226804632,0,0
245.6,36.5621176912096,25.9967390813091,37.4411432274813,0,0
245.7,36.5760870155222,25.9977432193953,37.4261697650825,0,0
245.8,36.5900518567257,25.9987458524035,37.4112022908709,0,0
245.9,36.6040122149588,25.9997469825895,37.3962408024517,0,0
246,36.6179680903629,26.000746612206,37.3812852974311,0,0
246.1,36.6319194830817,26.001744743502,37.3663357734163,0,0
246.2,36.6458663932613,26.0027413787235,37.3513922280152,0,0
246.3,36.6598088210502,26.0037365201128,37.336454658837,0,0
246.4,36.6737467665994,26.004730169909,37.3215230634916,0,0
246.5,36.6876802300622,26.0057223303477,37.30659743959,0,0
246.6,36.7016092115944,26.0067130036615,37.2916777847441,0,0
246.7,36.7155337113541,26.0077021920792,37.2767640965667,0,0
246.8,36.7294537295018,26.0086898978266,37.2618563726716,0,0
246.9,36.7433692662004,26.0096761231259,37.2469546106736,0,0
247,36.7572803216152,26.0106608701963,37.2320588081885,0,0
247.1,36.7711868959138,26.0116441412534,37.2171689628328,0,0
247.2,36.7850889892663,26.0126259385095,37.2022850722242,0,0
247.3,36.798986601845,26.0136062641736,37.1874071339814,0,0
247.4,36.8128797338247,26.0145851204516,37.1725351457237,0,0
247.5,36.8267683853824,26.0155625095459,37.1576691050718,0,0
247.6,36.8406525566975,26.0165384336555,37.142809009647,0,0
247.7,36.854532247952,26.0175128949763,37.1279548570717,0,0
247.8,36.8684074593299,26.0184858957008,37.1131066449693,0,0
247.9,36.8822781910176,26.0194574380184,37.098264370964,0,0
248,36.896144443204,26.0204275241149,37.0834280326811,0,0
248.1,36.9100062160802,26.0213961561731,37.0685976277467,0,0
248.2,36.9238635098396,26.0223633363723,37.0537731537881,0,0
248.3,36.937716324678,26.0233290668888,37.0389546084332,0,0
248.4,36.9515646607934,26.0242933498954,37.0241419893112,0,0
248.5,36.9654085183863,26.0252561875618,37.0093352940519,0,0
248.6,36.9792478976593,26.0262175820543,36.9945345202864,0,0
248.7,36.9930827988174,26.0271775355361,36.9797396656464,0,0
248.8,37.0069132220679,26.0281360501671,36.964950727765,0,0
248.9,37.0207391676204,26.029093128104,36.9501677042757,0,0
249,37.0345606356867,26.0300487715001,36.9353905928133,0,0
249.1,37.0483776264809,26.0310029825057,36.9206193910135,0,0
249.2,37.0621901402195,26.0319557632677,36.9058540965128,0,0
249.3,37.0759981771212,26.0329071159299,36.8910947069489,0,0
249.4,37.0898017374069,26.0338570426329,36.8763412199603,0,0
249.5,37.1036008212998,26.0348055455139,36.8615936331863,0,0
249.6,37.1173954290255,26.0357526267072,36.8468519442673,0,0
249.7,37.1311855608117,26.0366982883436,36.8321161508448,0,0
249.8,37.1449712168882,26.0376425325509,36.8173862505609,0,0
249.9,37.1587523974875,26.0385853614536,36.8026622410589,0,0
250,37.172529102844,26.0395267771731,36.7879441199829,0,0
250.1,37.1863013331943,26.0404667818276,36.7732318849781,0,0
250.2,37.2000690887775,26.0414053775321,36.7585255336904,0,0
250.3,37.2138323698346,26.0423425663984,36.743825063767,0,0
250.4,37.2275911766092,26.0432783505353,36.7291304728556,0,0
250.5,37.2413455093468,26.0442127320481,36.7144417586051,0,0
250.6,37.2550953682952,26.0451457130394,36.6997589186654,0,0
250.7,37.2688407537045,26.0460772956082,36.6850819506873,0,0
250.8,37.282581665827,26.0470074818507,36.6704108523223,0,0
250.9,37.2963181049171,26.0479362738598,36.6557456212231,0,0
251,37.3100500712315,26.0488636737252,36.6410862550433,0,0
251.1,37.323777565029,26.0497896835336,36.6264327514374,0,0
251.2,37.3375005865706,26.0507143053686,36.6117851080608,0,0
251.3,37.3512191361196,26.0516375413105,36.5971433225699,0,0
251.4,37.3649332139414,26.0525593934366,36.582507392622,0,0
251.5,37.3786428203036,26.053479863821,36.5678773158754,0,0
251.6,37.3923479554759,26.0543989545349,36.5532530899892,0,0
251.7,37.4060486197302,26.0553166676462,36.5386347126236,0,0
251.8,37.4197448133406,26.0562330052198,36.5240221814396,0,0
251.9,37.4334365365835,26.0571479693173,36.5094154940992,0,0
252,37.447123789737,26.0580615619975,36.4948146482654,0,0
252.1,37.4608065730819,26.058973785316,36.4802196416021,0,0
252.2,37.4744848869009,26.0598846413252,36.4656304717739,0,0
252.3,37.4881587314786,26.0607941320746,36.4510471364467,0,0
